Argument,category,FSQType1,FSQType2,Span_FSQType1,Span_FSQType2,Predicted_Type1,Predicted_Type2,Span_PredictedType1,Span_PredictedType2
It would be cringe because trump's policies (and other things) are extremely at odds with theirs. But fair enough. If you don't think it would be cringe for trump I can understand why it wouldn't be cringe for biden either.,alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,trump's policies (and other things) are extremely at odds with theirs,trump's policies,Bias and Subjectivity,,It would be cringe because trump's policies (and other things) are extremely at odds with theirs.,
"Just to let you know, the power of the judiciary is not being weakened at all. They literally just stopped one of his EOs and the temp block was upheld. I think you are overestimating the power Trump is wielding over the judiciary due to some zealous reporting that has been going on.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,overestimating the power Trump is wielding over the judiciary,power of the judiciary,Overgeneralized Statement,Lacks Evidence,the power of the judiciary is not being weakened at all,I think you are overestimating the power Trump is wielding over the judiciary
"I'm pro choice. I don't support abortion, but I support a woman's right to do as she pleases with her body. It's not my place to decide. With this said, a common argument I see against pro lifers is that it is sexist to outlaw abortions, because it's wanting control of a woman's body.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,,support a woman's right to do as she pleases with her body.,,Other Stakeholder Perspective,,a common argument I see against pro lifers is that it is sexist to outlaw abortions,because it's wanting control of a woman's body
"The purpose of an election is to elect. It is not to register feelings, reasons, support, or opposition. Therefore, the only metric needed in elections is a tally that allows winners to be selected. There is already the opportunity to vote for the candidates you choose.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,"It is not to register feelings, reasons, support, or opposition.","Therefore, the only metric needed in elections is a tally that allows winners to be selected.",Overgeneralized Statement,,the only metric needed in elections is a tally that allows winners to be selected,
"From elementary school all the way to now, I have always done poor academically. I was always wondering if I have an intellectual disorder since I just couldn't grasp concepts as well as the other students.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,,have an intellectual disorder since I just couldn't grasp concepts as well as the other students.,,Implicit Existence,,I was always wondering if I have an intellectual disorder,
"I think activists are annoying, no matter what cause they stand for. It's because we demand change and change is uncomfortable. But I see an injustice, and I still speak up about it, even if that makes me annoying.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,activists are annoying,activists are annoying,Bias and Subjectivity,Weak Evidence,I think activists are annoying,no matter what cause they stand for
"You act like my only reason for disliking them movie is because it didn't surprise me, but then you precede question one of my other reasons. Also I don't care what does or doesn't surprise you. We're two different people. The shootouts reminded me almost every other shootout I've seen in film.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,The shootouts reminded me almost every other shootout I've seen in film.,"disliking them movie is because it didn't surprise me,",Other Stakeholder Perspective,,I don't care what does or doesn't surprise you,The shootouts reminded me almost every other shootout I've seen in film
"I'm not saying it's not a great measure of upper body strength but it certainly is not a good overall standard. I suppose I could have worded that better, since my implied meaning was overall strength, not just upper body.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,it certainly is not a good overall standard,it certainly is not a good overall standard,Vague or Ambiguous Terms,,since my implied meaning was overall strength,not just upper body
I was reading somewhere on Relationships about a problem with a potential wedding guest because they were a very 'fussy eater' and how they were thinking to un-invite this person because of it. A lot of people were defending this person saying they too are picky eaters and how horrible it is.,alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,how horrible it is,they were a very 'fussy eater',Other Stakeholder Perspective,Bias and Subjectivity,A lot of people were defending this person saying they too are picky eaters,and how horrible it is
"Do you genuinely believe the movement against FGM is being held back in any serious capacity because men compare the practice to circumcision? Yes. Anyone who practices religious circumcision will be staunchly against a ban on it. By contrast, those same people could be convinced to be against FGM.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,Anyone who practices religious circumcision will be staunchly against a ban on it.,Anyone who practices religious circumcision will be staunchly against a ban on it.,Other Stakeholder Perspective,Questionable Cause-Effect Relationship,By contrast,those same people could be convinced to be against FGM
